feature_idx,coefficient
0,-0.08860001310774988
1,-0.020752682945904072
2,-0.05695425957845171
3,-0.22878337248476005
4,-0.1058835259617298
5,0.7433313902737392
6,0.7524601814890608
7,-0.7769414548434922
8,0.3157890191071093
9,-0.08968496365188555
10,-1.0910210955347832
11,-0.3142972496933689
12,0.33825190336080957
13,0.45822977282819405
14,-0.696470686783613
15,0.2266939343822722
16,1.1212140947436837
17,-0.6419143939360217
18,0.786066396213056
19,0.6187630329478374
20,1.15588736344913
21,-1.0736048388841577
22,-0.20805267198211777
23,0.09025759828198844
24,0.5326454165623383
25,0.06803729062934467
26,-1.4123178802198888
27,-0.17548794015943867
28,-1.1128716562433456
29,0.9667116954160365
30,0.04698865632228301
31,0.4922774158844881
32,-0.08344033809400908
33,0.9298536656987311
34,0.5464306541525493
35,0.4011072974145313
36,0.8524223302812004
37,0.15165995566410637
38,0.6293423409909945
39,0.6143144635751316
40,-0.9414168523218504
41,0.5160714169908099
42,-0.04915661849668006
43,-0.9559012921191321
44,-0.19880447777374818
45,0.4099101724611414
46,0.6181635534240424
47,-0.27318950631221506
48,-0.38844285686388075
49,-0.3884012881550561
50,1.046846581310801
51,0.9706414770249908
52,-0.9702984794189162
53,1.9302793722894374
54,-0.18804169134690477
55,-0.10673396046508388
56,-1.066217043856471
