subject_id,fold,true_label,left_prob,right_prob
8,0,2,0.019290685459121715,0.9807093145408783
8,0,2,0.04306996266012575,0.9569300373398743
8,0,1,0.4980774483546061,0.5019225516453939
8,0,2,0.684894324076068,0.315105675923932
8,0,2,0.009711975922256033,0.990288024077744
8,0,2,0.02141669286993464,0.9785833071300654
8,0,2,2.0718418264120686e-05,0.9999792815817359
8,0,1,0.0019936673127510796,0.9980063326872489
8,0,1,0.856390686827644,0.14360931317235606
8,0,1,0.01451741480145885,0.9854825851985412
8,0,1,0.967483493788758,0.032516506211242024
8,0,2,0.23320267396362637,0.7667973260363736
8,0,1,0.09788017324330889,0.9021198267566911
8,0,2,0.32432020479943335,0.6756797952005666
8,0,2,1.4027916336201152e-05,0.9999859720836638
8,0,2,0.0018617673106170463,0.998138232689383
8,0,2,0.0002779730220611176,0.9997220269779389
8,0,2,0.000777600598199979,0.9992223994018
8,0,1,0.5915193284336469,0.4084806715663532
8,0,1,0.029631405458506732,0.9703685945414933
8,0,1,0.025719253606629744,0.9742807463933703
8,0,1,0.9740649309044608,0.025935069095539245
8,0,1,0.960854341376647,0.03914565862335291
8,0,1,0.9132738889673583,0.08672611103264173
8,1,2,0.4574550103791636,0.5425449896208364
8,1,2,0.8418004501802282,0.15819954981977183
8,1,1,0.9896229349273254,0.010377065072674576
8,1,2,0.043716358800496735,0.9562836411995033
8,1,1,0.8850408318136557,0.11495916818634434
8,1,1,0.9837410530066857,0.0162589469933143
8,1,2,0.7109182606637,0.2890817393363
8,1,2,0.7072545330142022,0.29274546698579784
8,1,1,0.9998632358556123,0.00013676414438765748
8,1,2,0.4813484929444184,0.5186515070555816
8,1,1,0.8160954644488299,0.18390453555117015
8,1,1,0.6501525889157049,0.349847411084295
8,1,1,0.985368706026429,0.014631293973571035
8,1,1,0.9805266324078433,0.01947336759215666
8,1,1,0.9949405226813595,0.005059477318640519
8,1,2,0.08025589145371337,0.9197441085462866
8,1,2,0.001619099165167781,0.9983809008348322
8,1,2,0.006682127272674254,0.9933178727273257
8,1,2,0.0008936458329379393,0.9991063541670621
8,1,2,0.0019236403970083193,0.9980763596029917
8,1,2,0.0030741592933306583,0.9969258407066693
8,1,1,0.23765254103085898,0.762347458969141
8,1,1,0.9968246740795257,0.003175325920474325
8,1,1,0.89186192877036,0.10813807122964005
8,2,2,0.8796078691408177,0.12039213085918228
8,2,1,0.9897711672151581,0.01022883278484189
8,2,1,0.9798405419579531,0.02015945804204687
8,2,1,0.9879632914668292,0.012036708533170853
8,2,2,0.0869641143080071,0.9130358856919929
8,2,2,0.9129050796147193,0.08709492038528069
8,2,2,0.8357784384822307,0.16422156151776934
8,2,2,0.7411163375531319,0.2588836624468681
8,2,2,0.9702056149755197,0.02979438502448031
8,2,1,0.9292088221891539,0.07079117781084611
8,2,1,0.9686079623036574,0.03139203769634259
8,2,1,0.10862789470586909,0.8913721052941309
8,2,2,0.18998824606917442,0.8100117539308256
8,2,2,0.900471992350464,0.09952800764953597
8,2,2,0.0489217915899387,0.9510782084100613
8,2,2,0.3006794822847618,0.6993205177152382
8,2,1,0.999265168380751,0.0007348316192490031
8,2,2,0.0008561240044082652,0.9991438759955917
8,2,2,0.025940714252869035,0.974059285747131
8,2,1,0.8666740332811053,0.13332596671889474
8,2,1,0.08813099767497201,0.911869002325028
8,2,1,0.9882329389658541,0.011767061034145926
8,2,1,0.9714577007069046,0.02854229929309534
8,2,1,0.9401544295583573,0.05984557044164278
8,3,2,0.2845108181173237,0.7154891818826763
8,3,2,0.2942095948736949,0.7057904051263051
8,3,1,0.9721225932129058,0.02787740678709413
8,3,1,0.9804096806011207,0.019590319398879338
8,3,1,0.9869281858578034,0.013071814142196556
8,3,2,0.10521379754151516,0.8947862024584848
8,3,2,0.02769693890541669,0.9723030610945833
8,3,2,0.01658062914304337,0.9834193708569566
8,3,1,0.8328034502491644,0.16719654975083562
8,3,1,0.9854924166903296,0.014507583309670436
8,3,1,0.7896106489372234,0.2103893510627765
8,3,1,0.23836819257486597,0.761631807425134
8,3,2,0.03125493642420518,0.9687450635757948
8,3,2,0.08478541446324128,0.9152145855367587
8,3,1,0.9515949255440825,0.04840507445591751
8,3,2,0.016308136913496973,0.983691863086503
8,3,2,0.3679230456607877,0.6320769543392123
8,3,2,0.8923863408382251,0.10761365916177486
8,3,2,0.08463817917837979,0.9153618208216202
8,3,2,0.03488039191027337,0.9651196080897266
8,3,1,0.9525374486476356,0.04746255135236447
8,3,1,0.4562527969668385,0.5437472030331615
8,3,1,0.8436849198420138,0.1563150801579862
8,3,1,0.9920133789884683,0.007986621011531666
