subject_id,fold,true_label,left_prob,right_prob
6,1,1,0.9014754034919363,0.09852459650806365
6,1,1,0.999376929657386,0.0006230703426139883
6,1,1,0.835207452843721,0.16479254715627895
6,1,2,0.5517583684553549,0.4482416315446451
6,1,2,0.46685520638023836,0.5331447936197616
6,1,2,0.23079637898195127,0.7692036210180487
6,1,2,0.0462384610984905,0.9537615389015095
6,1,2,0.963037285623349,0.036962714376651024
6,1,2,0.08405103840084616,0.9159489615991538
6,1,1,0.977035961145217,0.02296403885478308
6,1,1,0.8707596811672949,0.12924031883270512
6,1,1,0.9543055770211262,0.04569442297887382
6,1,1,0.4722917141367532,0.5277082858632468
6,1,2,0.032484312318758035,0.967515687681242
6,1,2,0.0398511785050949,0.9601488214949051
6,1,1,0.9185321440798963,0.08146785592010372
6,2,1,0.8909513512181345,0.10904864878186546
6,2,1,0.9877316612264934,0.012268338773506589
6,2,1,0.810447274780509,0.189552725219491
6,2,1,0.9206146470962077,0.07938535290379234
6,2,1,0.9494928897149839,0.050507110285016144
6,2,2,0.5744652837509817,0.4255347162490183
6,2,2,0.37356467791124126,0.6264353220887587
6,2,2,0.2152856768652457,0.7847143231347543
6,2,2,0.6884742946336533,0.3115257053663468
6,2,2,0.027290964887907943,0.9727090351120921
6,2,2,0.04400672731534394,0.9559932726846561
6,2,1,0.8945313662075548,0.10546863379244518
6,2,2,0.21458593188842257,0.7854140681115774
6,2,2,0.037598831794508736,0.9624011682054913
6,2,1,0.41432582041160615,0.5856741795883939
6,2,1,0.7270025661944572,0.2729974338055427
6,3,1,0.7777190104379326,0.22228098956206743
6,3,1,0.8478941788099548,0.1521058211900452
6,3,1,0.9874801478952187,0.012519852104781369
6,3,2,0.40481321396893866,0.5951867860310613
6,3,2,0.046463798909497145,0.9535362010905029
6,3,2,0.07699440808879299,0.923005591911207
6,3,2,0.008372700845513892,0.9916272991544861
6,3,2,0.014650582416061542,0.9853494175839385
6,3,2,0.9731950842572251,0.026804915742774896
6,3,1,0.8102161518626387,0.1897838481373613
6,3,2,0.49623107291207913,0.5037689270879209
6,3,2,0.0009416234354000519,0.9990583765646
6,3,1,0.011720787684862843,0.9882792123151372
6,3,1,0.7790890475906066,0.22091095240939343
6,3,1,0.8579872070009243,0.14201279299907565
6,3,1,0.2836748285143469,0.7163251714856531
6,4,1,0.8195221875676528,0.18047781243234717
6,4,1,0.96406647101275,0.035933528987250045
6,4,1,0.9750029746457534,0.024997025354246683
6,4,1,0.990858911218418,0.009141088781581994
6,4,1,0.7629318020045064,0.2370681979954936
6,4,2,0.11540496987198257,0.8845950301280174
6,4,2,0.3815037456629271,0.6184962543370729
6,4,2,0.04369662350561632,0.9563033764943837
6,4,2,0.2015344985328288,0.7984655014671712
6,4,2,0.00604938039020031,0.9939506196097997
6,4,2,0.07890433184494339,0.9210956681550566
6,4,1,0.5972544201877084,0.4027455798122917
6,4,1,0.9660019726979393,0.03399802730206065
6,4,2,0.18093656873017416,0.8190634312698258
6,4,2,0.013998033231824913,0.9860019667681751
6,4,1,0.8090870128889593,0.19091298711104068
6,5,1,0.8293726962301751,0.17062730376982493
6,5,1,0.9840671086691519,0.01593289133084803
6,5,1,0.8885332929647314,0.1114667070352686
6,5,1,0.7724758166254548,0.22752418337454522
6,5,2,0.21306431447347218,0.7869356855265278
6,5,2,0.49077675152806466,0.5092232484719353
6,5,2,0.41487490435201013,0.5851250956479899
6,5,2,0.09652632499741653,0.9034736750025835
6,5,2,0.037235754079089634,0.9627642459209104
6,5,2,0.15975503522175194,0.8402449647782481
6,5,1,0.020192453020738133,0.9798075469792619
6,5,1,0.5092678102493119,0.4907321897506881
6,5,2,0.21118730904790461,0.7888126909520954
6,5,2,0.03264740079931605,0.967352599200684
6,5,1,0.49425689719838695,0.505743102801613
6,5,1,0.8609085097039029,0.13909149029609713
